id;nome;ano;descricao;preco;image;estoque
1;mesh Pernambuco XML;2021-10-13;Incrível;14719;Acre wireless Optimization;93712
2;utilize Ringgit Sem;2021-10-13;Planner ROI;15770;pixel;62711
3;connecting bluetooth generation;2021-10-12;Borders Adaptive panel;26024;transparent Adaptive;52877
4;Borracha Bedfordshire;2021-10-13;Principal pixel;39498;Ergonomic pixel;10248
5;Toalhas Saint Casa;2021-10-13;mão;26688;User;91319
6;Rua;2021-10-12;matrix Genérico;23520;solutions Mouse;35634
7;Algodão;2021-10-13;multi-byte;25686;withdrawal;72401
8;Rupiah;2021-10-13;Bedfordshire Dollar;91162;Interactions Producer Camiseta;6573
9;Loan;2021-10-12;Borders;13689;core Turismo;7231
10;Rio programming;2021-10-13;Peixe Account;45952;Salgadinhos Granito Bacon;36872
